Word,Count
,400
*<,204
*,192
the,170
+,168
to,111
of,85
is,74
property,73
color,72
OO(),68
OI(),68
Per-thread,64
Gets,62
and,58
be,55
for,53
console,50
module,50
a,47
logging,46
we,42
logger,39
log,38
Sets,38
will,38
state,37
current,36
line,34
this,34
by,33
in,32
OLn(text),32
indentation,31
if,31
are,29
html,29
that,29
on,27
should,25
thread,24
value,24
threads,24
text,23
not,23
given,23
during,22
count,22
new,21
colors,20
SOLn(text),20
@param,20
EOLn(text),20
EO(text),20
SO(text),20
with,20
it,19
mode,18
name,17
also,16
Initialize(),16
Prints,16
invoke,16
printouts-with-newline,16
error,16
total,16
bools,16
O(text),16
floats,16
foreground,16
at,15
only,15
use,15
can,14
or,14
This,14
when,14
always,14
adds,13
strings,13
used,13
Deinitialize(),13
window,13
their,13
logs,12
SOff(),12
mutex,12
ints,12
all,12
Directly,12
If,12
off,12
Per-process,12
string,12
CConsole,12
functions,12
EOff(),12
writes,12
SOn(),12
other,12
EOn(),12
so,12
same,11
as,11
even,11
from,10
appear,10
file,10
formatted,10
multiple,10
here,10
operator<<(),10
but,10
after,10
O(),10
enabled,9
background,9
1,9
might,9
function,9
errors,8
set,8
The,8
because,8
Increases,8
case,8
Resets,8
OLn(),8
Success-mode,8
success-mode,8
actually,8
Decreases,8
error-mode,8
Error-mode,8
wait,7
then,7
WriteFormattedTextEx(),7
getConsoleInstance(),7
instead,7
requires,7
once,7
using,7
previously,7
each,7
some,7
more,6
IndentBy(),6
last,6
instance,6
lock,6
Outdent(),6
won't,6
Used,6
reference,6
cpp11,6
need,6
Indent(),6
Name,6
they,6
OutdentBy(),6
printout,6
operator<<()s,6
True,6
empty,6
first,6
make,6
test,6
Current,6
list,6
have,6
you,6
2,6
next,6
\thread,\,6
already,6
something,6
really,6
###############################,6
I,6
false,6
there,6
any,6
In,6
default,6
##############################################################################################################################,6
again,5
true,5
which,5
don't,5
created,5
---------------------------------------------------------------------------,5
chars,5
initialized,5
since,5
calls,5
explanation,5
finish,5
space,5
modules,5
loggerModuleName,5
data,5
success,5
per-thread,5
\CConsole,\,5
above,5
times,5
many,5
calling,5
invoked,5
\here,\,5
dont,5
would,5
yet,5
singleton,5
0,5
explicitly,4
issue,4
Writes,4
code,4
\ints,\,4
about,4
until,4
Normal-mode,4
finally,4
Loads,4
Workaround:,4
###################################################################################,4
public,4
before,4
-,4
\strings,\,4
part,4
printing,4
buffer,4
integer,4
files,4
Restores,4
\initialized,\,4
born,4
order,4
irrespective,4
normal,4
OLnOI(),4
saved,4
@return,4
written,4
Saved,4
different,4
behavior,4
change,4
##############################,4
logged,4
regardless,4
up,4
into,4
\Temp,\,4
unlock,4
Saves,4
no,4
higher-level,4
end,4
consecutive,4
Solution:,4
otherwise,4
another,4
Total,4
printed,4
just,4
fifo,4
such,3
waiting,3
look,3
subsequent,3
L(),3
functionality,3
expected,3
\O("\%b"\,\,3
whenever,3
\startup,\,3
To,3
done,3
f),3
an,3
macro,3
False,3
For,3
could,3
\error,\,3
setting,3
PR00F88,3
previous,3
release,3
Reference,3
start,3
nbsp,3
\this,\,3
\name,\,3
SetLoggingState,3
Possible,3
shutdown,3
n),3
call,3
\calls,\,3
else,3
them,3
work,3
\test,\,3
\O("\%s"\,\,3
continue,3
sets,3
who,3
text),3
unlocked,3
\default,\,3
why,3
ends,3
spaces,3
our,3
process,3
single,3
Class,3
Changes,3
come,3
enable,3
let,3
thread-safe,3
makes,3
want,3
\wait,\,3
wants,3
Made,3
How,3
big,3
b),3
\O("\%d"\,\,3
handle,3
out,3
locked,3
must,3
numThreadsWaiting,3
similar,3
dtor,3
\O("\%f"\,\,3
print,2
return;,2
EOOI(),2
\WriteText(),\,2
required,2
whole,2
headers,2
Also,2
number,2
decreased,2
characters,2
CConsoleImpl,2
allowed,2
without,2
class,2
arguments,2
accordingly,2
unformatted,2
Threads,2
creates,2
getErrorOutsCount(),2
C),2
think,2
See,2
\true,\,2
\log,\,2
SetStringsColor(),2
passed,2
finishing,2
hack,2
\it,\,2
existing,2
OISOLn(),2
take,2
formal,2
stuff,2
SetErrorsAlwaysOn(),2
###########################################################################,2
\FormatSignal::NL,\,2
SOOI(),2
these,2
put,2
OIb(),2
every,2
SetFGColor(),2
ignored,2
counting,2
Don't,2
SOOO(),2
full,2
earlier,2
property:,2
floating-point,2
Shouldn't,2
static,2
warnings,2
lock_guard,2
like,2
inserted,2
necessary,2
(e.g,2
With,2
its,2
SOln(),2
getStringsColorHtml(),2
\console,\,2
being,2
getBGColor(),2
\invoked,\,2
switch,2
kept,2
called,2
where,2
manually,2
most,2
And,2
EOOO(),2
################################,2
OIEOLn(),2
do,2
PUBLIC,2
EOn()/EOff()/SOn()/SOff()/NOn(),2
variable-length,2
getFGColor(),2
old,2
\too,\,2
OOEOLn(),2
Logging,2
formatting,2
needed,2
EO(),2
loggerModule,2
sure,2
newly,2
signed,2
temporal,2
NULL,2
clean,2
getBoolsColorHtml(),2
controlled,2
PROTECTED,2
e.g,2
usually,2
SO(),2
\times,\,2
what,2
see,2
interested,2
(the,2
currently,2
worth,2
OISOOO,2
Ignored,2
OOEO(),2
reset,2
SetLoggingState(),2
invoking,2
known,2
CConsole.h,2
\function,\,2
rid,2
OIEOLnOO,2
disable,2
char,2
changing,2
Note,2
\"\4LLM0DUL3S"\,\,2
outside,2
looks,2
getBoolsColor(),2
(!bInited),2
repeated,2
states,2
whose,2
\OLn("\"\)\,2
getIntsColorHtml(),2
increased,2
visible,2
copied,2
\functions,\,2
fs,2
throw,2
your,2
\loggerModule,\,2
\program,\,2
write,2
result,2
effect,2
parameters,2
Windows,2
OOSO(),2
\However,\,2
contain,2
free,2
following,2
SetFloatsColor(),2
return,2
nothing,2
\normal,\,2
SetIntsColor(),2
test:,2
Default,2
Console,2
LoadColors(),2
turns,2
EOLnOI(),2
preparing,2
getIndent(),2
failed,2
SOLn(),2
NOT,2
\fs,\,2
boolean,2
PRIVATE,2
getSuccessOutsCount(),2
getFloatsColor(),2
Tells,2
OOSOLn(),2
may,2
fix,2
Deletes,2
getFloatsColorHtml(),2
getStringsColor(),2
argument,2
unsigned,2
running,2
n,2
including,2
OOLn(),2
reaches,2
\again,\,2
how,2
WORD,2
get,2
OIOLn(),2
SOLnOI(),2
doesn't,2
OOb(),2
now,2
later,2
purely,2
OISOLnOO,2
OISO(),2
wrong,2
SetIndent(),2
verbose,2
OIEO(),2
doing,2
RestoreDefaultColors(),2
SetBGColor(),2
needs,2
unique_lock,2
means,2
SetBoolsColor(),2
increases,2
bit,2
names,2
ass,2
SOLnOO(),2
SaveColors(),2
run,2
mainMutex,2
\off,\,2
know,2
load,2
mutex),2
nThreadCntr,2
I'm,2
explained,2
specific,2
compiler,2
OIEOOO,2
anyway,2
EOLnOO(),2
By,2
\"\-="\\,2
equals,2
avoid,2
Initially,2
getFGColorHtml(),2
able,2
Always,2
output,2
getIntsColor(),2
pass,2
here:,2
newline,2
fmt,2
Based,2
NOn(),2
A),2
checking,2
D),1
filtered,1
job,1
protected,1
\char,\,1
annoying,1
new-line-print,1
changed:,1
birth,1
\dtor,\,1
basis,1
someone,1
unused,1
correct,1
\counting,\,1
unlocks,1
sorted,1
parts/layers,1
pre-set,1
store,1
did,1
\0,\,1
FIRST,1
clear,1
\example,\,1
consists,1
reverse,1
lock/mutex,1
sg,1
extension,1
Indent()/Outdent(),1
increase,1
uses,1
based,1
clrFGhtml;,1
\names,\,1
mess,1
\ended),\,1
We,1
Whenever,1
failure,1
\module,\,1
let's,1
\file,\,1
issues:,1
legacy,1
ImmediateWriteString(),1
When,1
cpp17,1
\also,\,1
summarize,1
Reference-counting,1
unique,1
had,1
https://www.intel.com/content/www/us/en/developer/articles/tool/oneapi-standalone-components.html#inspector,1
Visualizer:,1
pinpoint,1
added,1
binary,1
NL,1
bring,1
\set,\,1
Example:,1
everything,1
Application,1
accomplish,1
well:,1
reader,1
die,1
There,1
independent,1
Contains,1
Inspector,1
\something,\,1
obviously,1
invokes,1
\race,\,1
maintain,1
program,1
lead,1
stackoverflow),1
quickly,1
building,1
deleted,1
care,1
shut,1
basically,1
variables,1
myself,1
applied,1
\process,\,1
latter,1
printouts,1
pimpl,1
\disabled,\,1
directory,1
CON_TITLE,1
\fails,\,1
Decision:,1
https://github.com/GPMueller/mwe-cpp-exception,1
per-module,1
newest,1
described,1
answer,1
Only,1
left,1
overcome,1
\completely,\,1
formatter,1
LogState,1
\WriteFormattedTextEx(),\,1
Known,1
internal,1
\unsafe"\\,1
probably,1
holding,1
impl,1
Other,1
decreases,1
initializing,1
~CConsoleImpl(),1
\purpose,\,1
nKeep,1
\private,\,1
thru,1
down),1
Size,1
=,1
oldClrFGhtml,1
Functions,1
Verifier:,1
Define,1
DWORD,1
gets,1
helpful,1
minwindef.h,1
appearing,1
https://stackoverflow.com/questions/11665829/how-can-i-print-stack-trace-for-caught-exceptions-in-c-code-injection-in-c/11674810#11674810,1
one,1
An,1
Foreground,1
It,1
saw,1
\%),\,1
specified,1
I've,1
\parameter"\,\,1
createLogFile,1
\banana"\);\,1
defaults,1
this),1
exits,1
switch-case,1
HTML-based,1
no-new-line-print,1
Ending,1
\"\.\log_%hostname_%Y-%m-%d_%H-%M-%S.html"\\,1
Even,1
filter,1
single-threaded,1
ImmediateWriteFloat(),1
mode:,1
mentioning,1
available,1
solve,1
interfacing,1
immediately,1
\positive,\,1
null,1
activates,1
exception,1
\class,\,1
bitmap,1
Unfortunately,1
few,1
header,1
canWeWriteBasedOnFilterSettings(),1
has,1
started,1
issue:,1
owner,1
undefined,1
char-by-char,1
\thread-specific,\,1
\anymore,\,1
on-demand,1
\std::iota,\,1
better,1
completely,1
(EOn()/EOff()/SOn()/SOff()/NOn()/RestoreDefaultColors(),1
indent/outdent,1
refcount,1
###############################################,1
\bitmap),\,1
EOln(),1
oldest,1
\issue,\,1
automatically,1
died,1
clue,1
itoa,1
\O("\apple"\);\,1
\visible,\,1
original,1
included,1
good,1
ImmediateWriteBool(),1
startup,1
non-error,1
ImmediateWriteUInt(),1
generated,1
try,1
remember,1
affecting,1
replaced,1
\interface,\,1
id,1
encountering,1
older,1
owned,1
counts,1
(because,1
macros,1
although,1
unreferenced,1
Whether,1
parts,1
\"\unreferenced\,1
revise,1
deciding,1
fails,1
API,1
logic,1
continuing,1
other's,1
parameter,1
checked,1
passing,1
C++11,1
todo:,1
find,1
\succeeded),\,1
(colors),1
course,1
weird,1
EOLn(),1
way,1
\EOLn(),\,1
(queueing),1
processing,1
\Unfortunately,\,1
decide,1
noting,1
etc,1
\Positive,\,1
Log,1
Not,1
tools,1
filtering,1
destroyed,1
reach,1
generate,1
area,1
\defined,\,1
shared,1
resources,1
stacktrace:,1
fear,1
So,1
\threadFunc(),\,1
Thread-safe,1
indentations,1
initialize,1
achieve,1
\output,\,1
incremented,1
cannot,1
messing,1
still,1
\O("\\,1
notice,1
Intel,1
\buffered,\,1
size,1
those,1
\OLn("\apple\,1
anywhere,1
expect,1
iterated,1
owning,1
Optional,1
CCONSOLE_IS_ENABLED,1
All,1
\entity,\,1
https://stackoverflow.com/questions/77005/how-to-automatically-generate-a-stacktrace-when-my-program-crashes,1
\enabled,\,1
Valgrind,1
starting,1
inserting,1
disabled,1
walks,1
Still,1
non-throwing,1
regular,1
optimize,1
handled,1
iteratively,1
HTML-color,1
\instance,\,1
fail,1
caption,1
magic,1
official,1
never,1
note,1
\per-process,\,1
CConsoleImpl::WriteText(),1
point;,1
ruin,1
lot,1
wanna,1
depending,1
subsystems/libraries,1
happen,1
definitely,1
useful,1
\1,\,1
WINAPI,1
\line,\,1
CConsoleImpl(...),1
\thread-safe,\,1
CConsole::IsInitialized(),1
\added,\,1
writing,1
scenario,1
soon,1
Concurrency,1
\"\deprecated"\\,1
\OLn("\banana"\);\,1
\unique_lock,\,1
https://marketplace.visualstudio.com/items?itemName=Diagnostics.DiagnosticsConcurrencyVisualizer2022#overview,1
Buffering,1
Currently,1
success/error,1
\static,\,1
WinMain(),1
3,1
https://github.com/JochenKalmbach/StackWalker,1
however,1
Similar,1
Intentionally,1
1st,1
went,1
\slower,\,1
than,1
delay,1
\other,\,1
were,1
Should,1
error-only,1
\logged,\,1
unusual,1
changes,1
optimized,1
CConsole.cpp,1
nl,1
\N,\,1
B),1
pointer,1
\SDK,\,1
\"\may\,1
either,1
Consider,1
(of,1
CConsole::getConsoleInstance(),1
puts,1
wait(),1
https://docs.microsoft.com/en-us/windows-hardware/drivers/devtest/application-verifier#installing-appverifier,1
ImmediateWriteInt(),1
gethostname(),1
between,1
below,1
etc:,1
cause,1
was,1
title,1
bad,1
roles,1
successfully,1
efficient,1
\VS2022,\,1
include,1
demo,1
Drawbacks:,1
executed,1
implement,1
\case,\,1
initializes,1
p,1
example:,1
(see,1
\exception,\,1
statements,1
recursive,1
turning,1
Comment,1
\lock,\,1
simple,1
parallel,1
(contains,1
lines,1
(when,1
line),1
\"\);\,1
FOREGROUND_XXX,1
changed,1
sufficient,1
per,1
deletes,1
synchronization,1
time,1
abstract,1
\window,\,1
opening,1
execute,1
WriteFormattedTextExCaller(),1
typically,1
initialization,1
\recursive,\,1
recommended,1
deinitializing,1
\lines,\,1
amount,1
/,1
stdlib.h,1
useless,1
Use,1
recent,1
conmain.cpp,1
WriteText(),1
CConsole::CConsoleImpl,1
sFilenameAux,1
please,1
decided,1
right,1
\WriteFormattedTextExCaller(),\,1
Setting,1
Non-breakable,1
matter,1
handling,1
################################################,1
concurrently,1
TODO:,1
\delayed,\,1
properly,1
